4;10;4;1
-0.000132;0.000240;0.000000;0.000120;
0.000000;0.000120;-0.000131;0.000000;
-0.002763;0.001557;-0.003156;0.001437;
0.000792;-0.000957;0.001187;-0.000837;
0.000395;-0.001915;0.000132;-0.001676;
-0.001845;0.000240;-0.001713;0.000120;
0.001980;-0.002158;0.002375;-0.002278;
0.000527;0.000000;0.000527;0.000000;
0.001317;0.000961;0.000789;0.000961;
-0.000132;0.000000;0.000000;0.000120;
-0.000395;0.000240;-0.000657;0.000120;
20160121-17:05:45.104 BRT;20160121-17:10:01.104 BRT;20160121-17:14:17.156 BRT;20160121-17:18:33.166 BRT;20160121-17:22:49.166 BRT;20160121-17:27:05.209 BRT;20160121-17:31:21.236 BRT;20160121-17:35:37.420 BRT;20160121-17:39:53.467 BRT;20160121-17:44:09.493 BRT;20160121-17:48:25.535 BRT;
